C:\self driving car simulator\IMG\center_2019_12_21_15_25_24_879.jpg, C:\self driving car simulator\IMG\left_2019_12_21_15_25_24_879.jpg, C:\self driving car simulator\IMG\right_2019_12_21_15_25_24_879.jpg, 0, 0, 0, 7.796613E-05
C:\self driving car simulator\IMG\center_2019_12_21_15_25_25_021.jpg, C:\self driving car simulator\IMG\left_2019_12_21_15_25_25_021.jpg, C:\self driving car simulator\IMG\right_2019_12_21_15_25_25_021.jpg, 0, 0, 0, 8.399294E-05
C:\self driving car simulator\IMG\center_2019_12_21_15_25_25_128.jpg, C:\self driving car simulator\IMG\left_2019_12_21_15_25_25_128.jpg, C:\self driving car simulator\IMG\right_2019_12_21_15_25_25_128.jpg, 0, 0, 0, 7.814711E-05
C:\self driving car simulator\IMG\center_2019_12_21_15_25_25_240.jpg, C:\self driving car simulator\IMG\left_2019_12_21_15_25_25_240.jpg, C:\self driving car simulator\IMG\right_2019_12_21_15_25_25_240.jpg, 0, 0, 0, 7.834944E-05
C:\self driving car simulator\IMG\center_2019_12_21_15_25_25_342.jpg, C:\self driving car simulator\IMG\left_2019_12_21_15_25_25_342.jpg, C:\self driving car simulator\IMG\right_2019_12_21_15_25_25_342.jpg, 0, 0, 0, 8.018382E-05
C:\self driving car simulator\IMG\center_2019_12_21_15_25_25_445.jpg, C:\self driving car simulator\IMG\left_2019_12_21_15_25_25_445.jpg, C:\self driving car simulator\IMG\right_2019_12_21_15_25_25_445.jpg, 0, 0, 0, 8.078711E-05
C:\self driving car simulator\IMG\center_2019_12_21_15_25_25_551.jpg, C:\self driving car simulator\IMG\left_2019_12_21_15_25_25_551.jpg, C:\self driving car simulator\IMG\right_2019_12_21_15_25_25_551.jpg, 0, 0, 0, 8.001787E-05
C:\self driving car simulator\IMG\center_2019_12_21_15_25_25_652.jpg, C:\self driving car simulator\IMG\left_2019_12_21_15_25_25_652.jpg, C:\self driving car simulator\IMG\right_2019_12_21_15_25_25_652.jpg, 0, 0, 0, 7.820864E-05
C:\self driving car simulator\IMG\center_2019_12_21_15_25_25_760.jpg, C:\self driving car simulator\IMG\left_2019_12_21_15_25_25_760.jpg, C:\self driving car simulator\IMG\right_2019_12_21_15_25_25_760.jpg, 0, 0, 0, 7.963723E-05
C:\self driving car simulator\IMG\center_2019_12_21_15_25_25_862.jpg, C:\self driving car simulator\IMG\left_2019_12_21_15_25_25_862.jpg, C:\self driving car simulator\IMG\right_2019_12_21_15_25_25_862.jpg, 0, 0, 0, 7.889337E-05
C:\self driving car simulator\IMG\center_2019_12_21_15_25_25_970.jpg, C:\self driving car simulator\IMG\left_2019_12_21_15_25_25_970.jpg, C:\self driving car simulator\IMG\right_2019_12_21_15_25_25_970.jpg, 0, 0, 0, 7.825214E-05
C:\self driving car simulator\IMG\center_2019_12_21_15_25_26_079.jpg, C:\self driving car simulator\IMG\left_2019_12_21_15_25_26_079.jpg, C:\self driving car simulator\IMG\right_2019_12_21_15_25_26_079.jpg, 0, 0, 0, 7.920968E-05
C:\self driving car simulator\IMG\center_2019_12_21_15_25_26_184.jpg, C:\self driving car simulator\IMG\left_2019_12_21_15_25_26_184.jpg, C:\self driving car simulator\IMG\right_2019_12_21_15_25_26_184.jpg, 0, 0, 0, 7.858824E-05
C:\self driving car simulator\IMG\center_2019_12_21_15_25_26_289.jpg, C:\self driving car simulator\IMG\left_2019_12_21_15_25_26_289.jpg, C:\self driving car simulator\IMG\right_2019_12_21_15_25_26_289.jpg, 0, 0, 0, 7.777713E-05
C:\self driving car simulator\IMG\center_2019_12_21_15_25_26_392.jpg, C:\self driving car simulator\IMG\left_2019_12_21_15_25_26_392.jpg, C:\self driving car simulator\IMG\right_2019_12_21_15_25_26_392.jpg, 0, 0, 0, 7.821024E-05
C:\self driving car simulator\IMG\center_2019_12_21_15_25_26_494.jpg, C:\self driving car simulator\IMG\left_2019_12_21_15_25_26_494.jpg, C:\self driving car simulator\IMG\right_2019_12_21_15_25_26_494.jpg, 0, 0.2697357, 0, 0.2728562
